rep,microsite_number,region,site,microsite,lat ,long,temperature,humidity,day ,month,year
1,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,14.3,29.87,11,5,22
2,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,14.79,25.22,11,5,22
3,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,15.71,28.87,11,5,22
4,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,16.62,24.94,11,5,22
5,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,19.04,23.39,11,5,22
6,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,15.8,25.5,11,5,22
7,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,15.58,26.64,11,5,22
8,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,16.93,23.88,11,5,22
9,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,16.32,25.8,11,5,22
10,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,16.72,26.6,11,5,22
11,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,17.73,25.24,11,5,22
12,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,17.02,25.91,11,5,22
13,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,16.73,24.96,11,5,22
14,5,Carrizo,Carrizo_4,square,35.1191,-11962942,15.29,26.61,11,5,22
15,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,14.62,27.37,11,5,22
16,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,15.22,27.83,11,5,22
17,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,16.17,27.83,11,5,22
18,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,16.47,25.55,11,5,22
19,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,13.93,27.81,11,5,22
20,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,13.74,28.66,11,5,22
21,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,14.6,28.4,11,5,22
22,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,15.18,26.98,11,5,22
23,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,14.63,27.87,11,5,22
24,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,14.36,28.32,11,5,22
25,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,18.15,19.25,11,5,22
26,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,17.84,18.92,11,5,22
27,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,19.07,18.05,11,5,22
28,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,19.24,18.08,11,5,22
29,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,19.17,18.99,11,5,22
30,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,19.14,18.4,11,5,22
31,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,18.54,18.14,11,5,22
32,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,18.42,18.75,11,5,22
33,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,18.8,18.76,11,5,22
34,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,18.48,18.66,11,5,22
35,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,19.93,17.78,11,5,22
36,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,18.46,18.63,11,5,22
37,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,18.57,18.5,11,5,22
38,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,20.41,16.91,11,5,22
39,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,18.49,18.66,11,5,22
40,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,19.03,18.5,11,5,22
41,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,25.6,18.92,16,5,22
42,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,25.68,19.11,16,5,22
43,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,25.37,21.11,16,5,22
44,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,24.05,21,16,5,22
45,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,25.4,19.52,16,5,22
46,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,25.04,19.59,16,5,22
47,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,24.3,19.84,16,5,22
48,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,25.15,19.51,16,5,22
49,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,25.2,19.34,16,5,22
50,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,25.07,19.17,16,5,22
51,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,24.34,20.82,16,5,22
52,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,24.02,20.77,16,5,22
53,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,25.35,20.14,16,5,22
54,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,25.46,19.51,16,5,22
55,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,25.76,19.48,16,5,22
56,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,24.05,20.53,16,5,22
57,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,27.22,17.64,17,5,22
58,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,27.56,17.04,17,5,22
59,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,27.84,17.32,17,5,22
60,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,26.13,17.72,17,5,22
61,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,25.01,18.92,17,5,22
62,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,25.7,18.6,17,5,22
63,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,27.85,16.99,17,5,22
64,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,27.81,16.61,17,5,22
65,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,27.32,17.12,17,5,22
66,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,25.2,17.72,17,5,22
67,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,26.56,18.23,17,5,22
68,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,26.89,17.75,17,5,22
69,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,25.53,19.13,17,5,22
70,5,Carrizo,Carrizo_4,square,35.1191,-11962942,25.77,18.51,17,5,22
71,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,26.52,18.38,17,5,22
72,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,28.23,16.12,17,5,22
73,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,28.03,16.25,17,5,22
74,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,28.25,16.02,17,5,22
75,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,25.61,17.94,17,5,22
76,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,26.43,17.74,17,5,22
77,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,27.21,17.13,17,5,22
78,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,26.35,16.23,17,5,22
79,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,26.98,16.44,17,5,22
80,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,27.33,16.33,17,5,22
81,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,26,14.11,21,5,22
82,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,27.13,13.53,21,5,22
83,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,27.76,13.52,21,5,22
