rep,microsite_number,region,site,microsite,lat ,long,temperature,humidity,day ,month,year,date
1,1,Carrizo,Carrizo_4,shrub,35.11949,-119.62963,14.3,29.87,11,5,22,05/11/2022
2,1,Carrizo,Carrizo_4,square,35.11949,-119.62963,14.79,25.22,11,5,22,05/11/2022
3,1,Carrizo,Carrizo_4,triangle ,35.11949,-119.62963,15.71,28.87,11,5,22,05/11/2022
4,2,Carrizo,Carrizo_4,shrub,35.11929,-119.62958,16.62,24.94,11,5,22,05/11/2022
5,2,Carrizo,Carrizo_4,square,35.11929,-119.62958,19.04,23.39,11,5,22,05/11/2022
6,2,Carrizo,Carrizo_4,triangle ,35.11929,-119.62958,15.8,25.5,11,5,22,05/11/2022
7,3,Carrizo,Carrizo_4,shrub,35.11912,-119.62968,15.58,26.64,11,5,22,05/11/2022
8,3,Carrizo,Carrizo_4,square,35.11912,-119.62968,16.93,23.88,11,5,22,05/11/2022
9,3,Carrizo,Carrizo_4,triangle ,35.11912,-119.62968,16.32,25.8,11,5,22,05/11/2022
10,4,Carrizo,Carrizo_4,shrub,35.11908,-119.62946,16.72,26.6,11,5,22,05/11/2022
11,4,Carrizo,Carrizo_4,square,35.11908,-119.62946,17.73,25.24,11,5,22,05/11/2022
12,4,Carrizo,Carrizo_4,triangle ,35.11908,-119.62946,17.02,25.91,11,5,22,05/11/2022
13,5,Carrizo,Carrizo_4,shrub,35.1191,-11962942,16.73,24.96,11,5,22,05/11/2022
14,5,Carrizo,Carrizo_4,square,35.1191,-11962942,15.29,26.61,11,5,22,05/11/2022
15,5,Carrizo,Carrizo_4,triangle ,35.1191,-11962942,14.62,27.37,11,5,22,05/11/2022
16,6,Carrizo,Carrizo_4,shrub,35.11912,-119.62924,15.22,27.83,11,5,22,05/11/2022
17,6,Carrizo,Carrizo_4,square,35.11912,-119.62924,16.17,27.83,11,5,22,05/11/2022
18,6,Carrizo,Carrizo_4,triangle ,35.11912,-119.62924,16.47,25.55,11,5,22,05/11/2022
19,7,Carrizo,Carrizo_4,shrub,35.11908,-119.62905,13.93,27.81,11,5,22,05/11/2022
20,7,Carrizo,Carrizo_4,square,35.11908,-119.62905,13.74,28.66,11,5,22,05/11/2022
21,7,Carrizo,Carrizo_4,triangle ,35.11908,-119.62905,14.6,28.4,11,5,22,05/11/2022
22,8,Carrizo,Carrizo_4,shrub,35.11881,-119.6291,15.18,26.98,11,5,22,05/11/2022
23,8,Carrizo,Carrizo_4,square,35.11881,-119.6291,14.63,27.87,11,5,22,05/11/2022
24,8,Carrizo,Carrizo_4,triangle ,35.11881,-119.6291,14.36,28.32,11,5,22,05/11/2022
25,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,18.15,19.25,11,5,22,05/11/2022
26,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,17.84,18.92,11,5,22,05/11/2022
27,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,19.07,18.05,11,5,22,05/11/2022
28,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,19.24,18.08,11,5,22,05/11/2022
29,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,19.17,18.99,11,5,22,05/11/2022
30,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,19.14,18.4,11,5,22,05/11/2022
31,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,18.54,18.14,11,5,22,05/11/2022
32,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,18.42,18.75,11,5,22,05/11/2022
33,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,18.8,18.76,11,5,22,05/11/2022
34,1,Carrizo,Carrizo_Soda Lake,triangle ,35.05621,-119.60119,18.48,18.66,11,5,22,05/11/2022
35,2,Carrizo,Carrizo_Soda Lake,square,35.05614,-119.60146,19.93,17.78,11,5,22,05/11/2022
36,2,Carrizo,Carrizo_Soda Lake,triangle ,35.05614,-119.60146,18.46,18.63,11,5,22,05/11/2022
37,3,Carrizo,Carrizo_Soda Lake,square,35.0562,-119.60149,18.57,18.5,11,5,22,05/11/2022
38,3,Carrizo,Carrizo_Soda Lake,triangle ,35.0562,-119.60149,20.41,16.91,11,5,22,05/11/2022
39,4,Carrizo,Carrizo_Soda Lake,square,35.05627,-119.60138,18.49,18.66,11,5,22,05/11/2022
40,4,Carrizo,Carrizo_Soda Lake,triangle ,35.05627,-119.60138,19.03,18.5,11,5,22,05/11/2022
41,1,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60119,25.6,18.92,16,5,22,05/16/2022
42,2,Carrizo,Carrizo_Soda Lake,open,35.05613,-119.60137,25.68,19.11,16,5,22,05/16/2022
43,3,Carrizo,Carrizo_Soda Lake,open,35.05614,-119.60146,25.37,21.11,16,5,22,05/16/2022
44,4,Carrizo,Carrizo_Soda Lake,open,35.05618,-119.60149,24.05,21,16,5,22,05/16/2022
45,5,Carrizo,Carrizo_Soda Lake,open,35.0562,-119.60149,25.4,19.52,16,5,22,05/16/2022
46,6,Carrizo,Carrizo_Soda Lake,open,35.05634,-119.60142,25.04,19.59,16,5,22,05/16/2022
47,7,Carrizo,Carrizo_Soda Lake,open,35.05627,-119.60138,24.3,19.84,16,5,22,05/16/2022
48,8,Carrizo,Carrizo_Soda Lake,open,35.05621,-119.60126,25.15,19.51,16,5,22,05/16/2022
49,1,Carrizo,Carrizo_Soda Lake,square,35.05621,-119.60119,25.2,19.34,16,5,22,05/16/2022
