rep,region,site,date,microsite_number,density,shrub_ID,shrub_number,total_shrub,microsite_lat,microsite_long,shrub_lat,shrub_long,x,y,z,temp ,RH,camera1_lat,camera1_long,camera2_lat,camera2_long,pendant1_lat,pendant1_long,pendant2_lat,pendant2_long
1,Cuyama,Cuyama_1,05/10/2022,1,high,1,1,14,34.84879,-119.48412,34.84867,-119.48421,310,306,133,14.86,30.78,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
2,Cuyama,Cuyama_1,05/10/2022,1,high,2,2,14,34.84879,-119.48412,34.84874,-119.48428,329,275,136,15.19,30.86,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
3,Cuyama,Cuyama_1,05/10/2022,1,high,3,3,14,34.84879,-119.48412,34.84882,-119.48426,258,208,122,14.62,32.71,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
4,Cuyama,Cuyama_1,05/10/2022,1,high,4,4,14,34.84879,-119.48412,34.84892,-119.48418,301,174,90,13.18,32.63,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
5,Cuyama,Cuyama_1,05/10/2022,1,high,5,5,14,34.84879,-119.48412,34.84894,-119.4841,236,190,117,13.35,32.18,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
6,Cuyama,Cuyama_1,05/10/2022,1,high,6,6,14,34.84879,-119.48412,34.84896,-119.48405,479,296,188,13.5,32.52,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
7,Cuyama,Cuyama_1,05/10/2022,1,high,7,7,14,34.84879,-119.48412,34.84892,-119.48399,543,358,193,16.04,28.19,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
8,Cuyama,Cuyama_1,05/10/2022,1,high,8,8,14,34.84879,-119.48412,34.84889,-119.48411,314,220,180,14.53,30.9,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
9,Cuyama,Cuyama_1,05/10/2022,1,high,9,9,14,34.84879,-119.48412,34.84882,-119.48412,287,276,132,15.89,29.26,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
10,Cuyama,Cuyama_1,05/10/2022,1,high,10,10,14,34.84879,-119.48412,34.84882,-119.48399,470,387,165,15.87,28.48,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
11,Cuyama,Cuyama_1,05/10/2022,1,high,11,11,14,34.84879,-119.48412,34.84875,-119.48398,352,280,216,16.98,27.98,34.84866,-119.48425,34.84889,-119.48391,34.84867,-119.48421,34.84892,-119.48399
